"","num_attr","tpr","crit_val"
"91",4450,0.71,35.8478489645135
"92",4500,0.89,28.6906254829976
"93",4550,0.93,26.7996785475264
"94",4600,0.95,27.0178214041533
"95",4650,0.94,27.0893502627461
"96",4700,0.84,32.4126980622296
"97",4750,0.89,30.3275231603661
"98",4800,0.88,31.8944462485982
"99",4850,0.89,30.6432433584751
"100",4900,0.92,29.095018215497
"101",4950,0.8,36.4090239119955
"102",5000,0.98,22.8459170096285
"103",5050,0.94,29.0389328298707
"104",5100,0.9,30.8539439418403
"105",5150,0.9,32.0530425345079
"106",5200,0.97,26.8686357360411
"107",5250,0.94,28.9466726563827
"108",5300,0.96,27.7339099857744
"109",5350,0.97,28.0692377788325
"110",5400,0.93,30.5412316704705
"111",5450,0.95,29.8856934735911
"112",5500,0.96,28.8012217951421
"113",5550,0.97,28.6196020276112
"114",5600,0.95,30.0753215089617
"115",5650,0.97,29.5566784098797
"116",5700,0.91,36.3879398272654
"117",5750,0.94,33.1451454991817
"118",5800,0.98,27.6579056983688
"119",5850,0.96,33.7234315086024
"120",5900,0.97,32.6609722934121
"121",5950,0.95,35.2344276245141
"122",6000,0.97,31.166117778849
"123",6050,0.98,30.0889345081848
"124",6100,0.98,29.6169285106884
"125",6150,0.97,33.5328274055671
"126",6200,0.99,28.4769369298017
"127",6250,0.98,30.0732588409045
"128",6300,0.97,34.5322227952572
"129",6350,0.97,31.6428912764729
"130",6400,0.93,40.6610758245823
"131",6450,0.97,38.4775667831786
"132",6500,0.97,38.2378475495519
"133",6550,0.99,28.6744498266127
"134",6600,0.97,35.6308937117267
"135",6650,0.97,34.9909583459114
"136",6700,0.97,31.8950988190696
"137",6750,0.97,37.937354651346
"138",6800,0.98,30.7349973382225
"139",6850,0.93,43.7777927113808
"140",6900,0.97,36.1137352705823
"141",6950,0.99,32.8827601308825
"142",7000,0.96,40.0057489286162
"143",7050,0.97,36.367639169747
"144",7100,0.97,39.158245050452
"145",7150,0.98,35.6888323161041
"146",7200,0.97,39.3655493207261
"147",7250,0.97,40.0140162546787
"148",7300,1,34.6699624067859
"149",7350,1,35.4678139377848
"150",7400,0.97,41.1300873746137
"151",7450,1,34.849927954915
"152",7500,1,36.7156244983659
"153",7550,1,38.8157883387079
"154",7600,0.96,42.6874612193677
"155",7650,0.97,41.4776698103381
"156",7700,1,36.6355199778797
"157",7750,0.98,41.2512647251064
"158",7800,1,37.8253406654799
"159",7850,1,35.9733182090071
"160",7900,1,37.2008237219167
"161",7950,1,40.2723008836534
"162",8000,1,39.5112998880525
"163",8050,1,38.026815979384
"164",8100,1,37.3754484353746
"165",8150,0.98,42.0110442899209
"166",8200,1,38.3947320355309
"167",8250,0.99,38.9730813872877
"168",8300,1,40.7513907412884
"169",8350,0.97,48.4794121893209
"170",8400,1,36.5358283025092
"171",8450,1,43.0882005211437
"172",8500,0.99,44.5192669691904
"173",8550,1,43.3080250088973
"174",8600,1,41.2911363786327
"175",8650,1,37.7351147079604
"176",8700,0.98,47.37592985423
"177",8750,0.98,48.0512605461903
"178",8800,1,35.5970579478997
"179",8850,1,36.5272914344208
"180",8900,1,39.138627158647
"181",8950,1,47.2024676234376
"182",9000,1,32.373647287165
"183",9050,1,36.2877747562521
"184",9100,1,36.5163241507702
"185",9150,1,40.6960458749179
"186",9200,1,42.4068799320717
"187",9250,1,42.2057048040986
"188",9300,1,38.0302573659159
"189",9350,1,41.4036316591117
"190",9400,1,38.9804438759612
"191",9450,1,37.7592037993442
"192",9500,1,42.8501857616268
"193",9550,1,36.6498221139882
"194",9600,1,43.7413890350449
"195",9650,1,37.5116693086027
"196",9700,1,40.6400345239372
"197",9750,0.99,57.4438685533223
"198",9800,1,37.66047940806
"199",9850,1,37.6238588301381
